"Average Daily Basic Pay of Wage and Salary Workers by Major Industry Group, Philippines: 2016 to October 2024"

"Major Industry Group","2016 January","2016 April","2016 July","2016 October","2017 January","2017 April","2017 July","2017 October","2018 January","2018 April","2018 July","2018 October","2019 January","2019 April","2019 July","2019 October","2020 January","2020 April","2020 July","2020 October","2021 January","2021 April","2021 July","2021 October","2022 January","2022 April","2022 July","2022 October","2023 January","2023 April","2023 July","2023 October","2024 January","2024 April","2024 July","2024 October"
"….Agriculture and Forestry",200.39,213.28,203.07,219.12,210.21,218.31,229.11,219.71,221.39,227.20,240.88,252.55,256.86,259.00,256.13,260.80,261.45,263.51,270.59,284.72,275.48,272.42,292.57,282.54,296.02,293.68,305.80,305.87,308.62,310.38,331.62,325.54,337.99,344.30,342.47,353.17
"….Fishing and aquaculture",219.48,227.09,222.37,241.45,208.58,252.06,240.83,222.97,237.90,263.34,279.06,275.73,302.35,277.40,291.81,272.27,296.72,281.32,284.99,259.18,334.37,424.73,309.36,330.01,331.05,285.23,322.06,322.13,338.64,327.09,348.63,358.55,345.15,346.69,444.19,435.40
"….Mining and Quarrying",362.53,348.95,362.25,352.28,306.07,362.58,379.93,400.31,376.51,388.67,435.15,394.26,452.44,415.24,408.76,497.16,386.07,368.42,382.89,472.10,443.97,440.58,480.32,413.93,501.85,494.55,555.15,531.11,499.37,493.79,526.41,443.77,538.40,550.52,456.16,522.49
"….Manufacturing",361.49,373.84,390.08,408.92,373.64,391.76,411.87,397.49,417.16,410.35,420.55,425.64,449.13,433.23,436.95,467.20,455.90,456.70,442.18,470.70,451.17,458.65,474.24,481.53,480.49,489.06,487.26,483.43,497.55,512.40,523.68,543.22,552.37,546.48,545.23,545.19
"….Electricity Gas Steam and Airconditioning Supply",655.28,722.08,691.49,931.42,821.61,531.86,659.23,641.51,679.62,591.03,802.29,766.42,760.84,723.64,813.50,669.04,723.58,688.95,765.47,665.80,708.55,705.08,719.02,778.85,815.15,738.16,777.02,677.94,674.98,823.84,830.30,929.37,911.82,1023.34,974.15,881.89
"….Water Supply; Sewerage Waste Management and Remediation Activities",470.10,434.90,442.53,428.91,407.26,486.61,423.86,522.24,492.49,409.29,458.40,469.97,460.24,588.06,523.45,590.39,489.56,594.66,447.95,485.44,448.26,540.15,478.74,517.33,515.30,558.35,433.07,497.54,526.49,603.48,556.74,673.72,585.91,697.34,599.70,555.50
"….Construction",356.12,358.32,359.92,366.25,379.50,366.42,373.72,383.01,386.52,393.37,407.86,409.39,420.10,427.89,429.99,450.82,439.39,433.54,427.91,454.53,446.87,448.09,467.96,470.32,480.67,484.44,489.18,502.93,502.17,509.50,524.15,535.19,542.20,540.30,546.34,549.61
"….Whosale and Retail Trade; Repair of Motor Vehicles and Motorcycles",322.24,322.68,335.63,341.23,334.57,339.72,343.66,353.83,358.37,375.01,371.64,380.45,384.09,388.89,377.93,409.30,401.88,395.96,389.12,395.73,396.35,396.20,413.69,413.42,417.01,416.45,420.78,418.20,444.12,436.05,458.54,461.56,476.30,469.93,481.91,483.56
"….Transportation and Storage",426.23,441.76,433.03,456.37,424.69,434.02,430.02,433.71,464.51,485.75,454.45,475.35,492.70,539.74,527.05,508.67,547.79,513.69,488.46,527.17,502.42,501.39,514.31,525.74,524.07,559.87,541.28,542.69,562.27,626.25,577.76,623.60,585.10,618.81,593.06,654.26
"….Accommodation and Food Service Activities",333.34,344.67,334.85,341.18,346.15,358.62,354.27,362.02,360.57,390.74,377.06,390.09,390.85,428.43,397.52,407.20,408.91,424.64,420.11,419.52,426.65,384.84,421.53,451.78,424.41,438.99,418.22,445.01,440.98,453.97,470.11,463.88,480.99,486.14,508.36,508.98
