"Labor Force Participation Rate, Employment Rate, Unemployment Rate and Underemployment Rate, Philippines: January 2005 to January 2025"

"Year","Monthly/Quarterly","Labor Force Participation Rate","Employment Rate","Unemployment Rate","Underemployment Rate","Visible Underemployment Rate"
"2025","January",63.86,95.73,4.27,13.34,8.03
"2025","February",..,..,..,..,..
"2025","March",..,..,..,..,..
"2025","April",..,..,..,..,..
"2025","May",..,..,..,..,..
"2025","June",..,..,..,..,..
"2025","July",..,..,..,..,..
"2025","August",..,..,..,..,..
"2025","September",..,..,..,..,..
"2025","October",..,..,..,..,..
"2025","November",..,..,..,..,..
"2025","December",..,..,..,..,..
"2025","Annual",..,..,..,..,..
"2024","January",61.12,95.53,4.47,13.92,7.19
"2024","February",64.80,96.46,3.54,12.41,7.71
"2024","March",65.32,96.09,3.91,10.97,6.66
"2024","April",64.10,95.95,4.05,14.55,9.15
"2024","May",64.82,95.87,4.13,9.85,6.05
"2024","June",66.00,96.88,3.12,12.10,6.87
"2024","July",63.47,95.26,4.74,12.11,6.68
"2024","August",64.81,95.96,4.04,11.16,5.79
"2024","September",65.69,96.34,3.66,11.92,6.50
"2024","October",63.27,96.08,3.92,12.63,7.13
"2024","November",64.58,96.75,3.25,10.81,6.13
"2024","December",65.15,96.86,3.14,10.92,5.52
"2024","Annual",64.43,96.18,3.82,11.93,6.78
"2023","January",64.50,95.22,4.78,14.05,9.67
"2023","February",66.58,95.17,4.83,12.88,8.75
"2023","March",66.01,95.26,4.74,11.20,7.75
"2023","April",65.12,95.52,4.48,12.91,9.57
"2023","May",65.35,95.70,4.30,11.73,7.64
"2023","June",66.07,95.45,4.55,12.03,7.25
"2023","July",60.09,95.15,4.85,15.92,8.03
"2023","August",64.66,95.59,4.40,11.71,7.54
"2023","September",64.10,95.47,4.53,10.73,6.85
"2023","October",63.95,95.81,4.19,11.71,6.90
"2023","November",65.89,96.44,3.56,11.66,6.83
"2023","December",66.65,96.93,3.07,11.90,7.24
"2023","Annual",64.91,95.65,4.35,12.34,7.83
"2022","January",60.54,93.61,6.39,14.86,8.94
"2022","February",63.83,93.57,6.43,14.03,9.22
"2022","March",65.37,94.23,5.77,15.80,10.24
"2022","April",63.37,94.29,5.71,14.03,9.25
"2022","May",64.04,94.03,5.97,14.47,9.82
"2022","June",64.78,93.97,6.03,12.64,8.46
"2022","July",65.23,94.79,5.21,13.80,9.02
"2022","August",66.06,94.70,5.30,14.69,9.42
"2022","September",65.18,95.01,4.99,15.40,9.83
"2022","October",64.14,95.46,4.54,14.17,9.02
"2022","November",67.45,95.80,4.20,14.40,9.33
"2022","December",66.39,95.67,4.33,12.65,8.11
"2022","Annual",64.70,94.61,5.39,14.24,9.22
"2021","January",60.50,91.23,8.77,15.97,10.98
"2021","February",63.46,91.15,8.85,18.19,12.48
"2021","March",65.01,92.94,7.06,16.18,10.87
"2021","April",63.23,91.27,8.73,17.22,12.32
"2021","May",64.57,92.28,7.72,12.28,8.87
"2021","June",65.05,92.28,7.72,14.22,9.79
"2021","July",59.41,92.81,7.19,21.04,11.01
"2021","August",63.63,91.93,8.07,14.65,10.44
"2021","September",63.35,91.06,8.94,14.18,10.13
"2021","October",62.63,92.60,7.40,16.07,10.74
"2021","November",64.25,93.50,6.50,16.75,11.53
"2021","December",65.10,93.37,6.63,14.72,9.85
"2021","Annual",63.35,92.21,7.79,15.92,10.74
"2020","January",61.69,94.68,5.32,14.81,8.93
"2020","February",..,..,..,..,..
"2020","March",..,..,..,..,..
"2020","April",55.69,82.40,17.60,18.91,16.22
"2020","May",..,..,..,..,..
"2020","June",..,..,..,..,..
"2020","July",61.94,90.04,9.96,17.28,12.49
"2020","August",..,..,..,..,..
"2020","September",..,..,..,..,..
"2020","October",58.74,91.27,8.73,14.43,9.05
"2020","November",..,..,..,..,..
"2020","December",..,..,..,..,..
"2020","Annual",59.52,89.74,10.26,16.24,11.46
"2019","January",60.24,94.71,5.29,15.42,7.97
"2019","February",..,..,..,..,..
"2019","March",..,..,..,..,..
"2019","April",61.34,94.85,5.15,13.33,8.21
"2019","May",..,..,..,..,..
"2019","June",..,..,..,..,..
"2019","July",62.06,94.58,5.42,13.64,8.45
"2019","August",..,..,..,..,..
"2019","September",..,..,..,..,..
"2019","October",61.41,95.41,4.59,12.78,7.88
"2019","November",..,..,..,..,..
"2019","December",..,..,..,..,..
"2019","Annual",61.26,94.89,5.11,13.79,8.13
"2018","January",62.17,94.74,5.26,17.96,10.57
"2018","February",..,..,..,..,..
"2018","March",..,..,..,..,..
"2018","April",60.91,94.54,5.46,16.96,9.15
"2018","May",..,..,..,..,..
"2018","June",..,..,..,..,..
"2018","July",60.06,94.58,5.42,17.23,8.11
"2018","August",..,..,..,..,..
"2018","September",..,..,..,..,..
"2018","October",60.55,94.94,5.06,13.31,7.75
"2018","November",..,..,..,..,..
"2018","December",..,..,..,..,..
"2018","Annual",60.92,94.70,5.30,16.36,8.90
"2017","January",60.66,93.44,6.56,16.26,9.76
"2017","February",..,..,..,..,..
"2017","March",..,..,..,..,..
"2017","April",61.37,94.28,5.72,16.06,10.00
"2017","May",..,..,..,..,..
"2017","June",..,..,..,..,..
"2017","July",60.64,94.42,5.58,16.28,8.56
"2017","August",..,..,..,..,..
"2017","September",..,..,..,..,..
"2017","October",62.14,95.00,5.00,15.92,8.79
"2017","November",..,..,..,..,..
"2017","December",..,..,..,..,..
"2017","Annual",61.20,94.29,5.71,16.13,9.28
"2016","January",63.55,94.31,5.69,19.60,10.17
"2016","February",..,..,..,..,..
"2016","March",..,..,..,..,..
"2016","April",63.50,93.94,6.06,18.27,10.54
"2016","May",..,..,..,..,..
"2016","June",..,..,..,..,..
"2016","July",63.24,94.61,5.39,17.42,9.68
"2016","August",..,..,..,..,..
"2016","September",..,..,..,..,..
"2016","October",63.61,95.34,4.66,18.02,9.96
"2016","November",..,..,..,..,..
"2016","December",..,..,..,..,..
"2016","Annual",63.48,94.55,5.45,18.32,10.09
"2015","January",63.70,93.43,6.57,17.90,11.23
"2015","February",..,..,..,..,..
"2015","March",..,..,..,..,..
"2015","April",64.60,93.59,6.41,17.83,11.61
"2015","May",..,..,..,..,..
"2015","June",..,..,..,..,..
"2015","July",62.90,93.50,6.50,20.98,10.81
"2015","August",..,..,..,..,..
"2015","September",..,..,..,..,..
"2015","October",63.30,94.38,5.62,17.65,10.08
"2015","November",..,..,..,..,..
"2015","December",..,..,..,..,..
"2015","Annual",63.63,93.73,6.27,18.59,10.93
"2014","January",63.76,92.46,7.54,19.50,11.97
"2014","February",..,..,..,..,..
"2014","March",..,..,..,..,..
"2014","April",65.21,92.97,7.03,18.17,11.56
"2014","May",..,..,..,..,..
"2014","June",..,..,..,..,..
"2014","July",64.40,93.26,6.74,18.33,11.38
"2014","August",..,..,..,..,..
"2014","September",..,..,..,..,..
"2014","October",64.30,93.99,6.01,18.74,10.94
"2014","November",..,..,..,..,..
"2014","December",..,..,..,..,..
"2014","Annual",64.42,93.17,6.83,18.69,11.46
"2013","January",64.08,92.91,7.09,20.91,11.86
"2013","February",..,..,..,..,..
"2013","March",..,..,..,..,..
"2013","April",63.83,92.45,7.55,19.17,10.72
"2013","May",..,..,..,..,..
"2013","June",..,..,..,..,..
"2013","July",63.87,92.71,7.29,19.23,11.19
"2013","August",..,..,..,..,..
"2013","September",..,..,..,..,..
"2013","October",63.92,93.60,6.40,18.06,11.57
"2013","November",..,..,..,..,..
"2013","December",..,..,..,..,..
"2013","Annual",63.92,92.92,7.08,19.34,11.33
"2012","January",64.17,92.81,7.19,18.80,11.50
"2012","February",..,..,..,..,..
"2012","March",..,..,..,..,..
"2012","April",64.68,93.11,6.89,19.33,12.82
"2012","May",..,..,..,..,..
"2012","June",..,..,..,..,..
"2012","July",64.01,92.95,7.05,22.81,12.45
"2012","August",..,..,..,..,..
"2012","September",..,..,..,..,..
"2012","October",63.87,93.16,6.84,19.01,10.98
"2012","November",..,..,..,..,..
"2012","December",..,..,..,..,..
"2012","Annual",64.18,93.01,6.99,19.98,11.94
"2011","January",63.72,92.56,7.44,19.43,12.24
"2011","February",..,..,..,..,..
"2011","March",..,..,..,..,..
"2011","April",64.25,92.77,7.23,19.36,11.96
"2011","May",..,..,..,..,..
"2011","June",..,..,..,..,..
"2011","July",64.34,92.93,7.07,19.12,10.96
"2011","August",..,..,..,..,..
"2011","September",..,..,..,..,..
"2011","October",66.26,93.58,6.42,19.15,11.54
"2011","November",..,..,..,..,..
"2011","December",..,..,..,..,..
"2011","Annual",64.64,92.96,7.04,19.26,11.67
"2010","January",64.50,92.72,7.28,19.74,11.59
"2010","February",..,..,..,..,..
"2010","March",..,..,..,..,..
"2010","April",63.60,91.95,8.05,17.78,11.02
"2010","May",..,..,..,..,..
"2010","June",..,..,..,..,..
"2010","July",63.92,93.04,6.96,17.95,10.69
"2010","August",..,..,..,..,..
"2010","September",..,..,..,..,..
"2010","October",64.23,92.88,7.12,19.57,11.26
"2010","November",..,..,..,..,..
"2010","December",..,..,..,..,..
"2010","Annual",64.06,92.65,7.35,18.76,11.14
"2009","January",63.30,92.31,7.69,18.21,11.63
"2009","February",..,..,..,..,..
"2009","March",..,..,..,..,..
"2009","April",64.00,92.53,7.47,18.92,12.39
"2009","May",..,..,..,..,..
"2009","June",..,..,..,..,..
"2009","July",64.60,92.40,7.60,19.81,11.12
"2009","August",..,..,..,..,..
"2009","September",..,..,..,..,..
"2009","October",63.98,92.88,7.12,19.38,12.04
"2009","November",..,..,..,..,..
"2009","December",..,..,..,..,..
"2009","Annual",63.97,92.53,7.47,19.08,11.79
"2008","January",63.40,92.64,7.36,18.90,11.94
"2008","February",..,..,..,..,..
"2008","March",..,..,..,..,..
"2008","April",63.17,92.00,8.00,19.76,12.00
"2008","May",..,..,..,..,..
"2008","June",..,..,..,..,..
"2008","July",64.30,92.64,7.36,21.08,12.09
"2008","August",..,..,..,..,..
"2008","September",..,..,..,..,..
"2008","October",63.70,93.18,6.82,17.46,11.12
"2008","November",..,..,..,..,..
"2008","December",..,..,..,..,..
"2008","Annual",63.64,92.62,7.38,19.30,11.79
